,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,1:31 Sujin looks steamed,0.0,0.0,1.0,0.0,neu
1,It feels like Ancholo after a sexy concept song at a college festival. I feel like I'm not wearing clothes right at the festival,0.93,0.0,0.519,0.481,pos
2,I keep sneezing out of my jacket.,0.0,0.0,1.0,0.0,neu
3,Give Oh My Girl a reaction at the end of the year ...,0.0,0.0,1.0,0.0,neu
4,01:26 Ghana chocolate comes out legend,0.0,0.0,1.0,0.0,neu
5,The subject is inferior ..,-0.4019,0.403,0.597,0.0,neg
6,Did one or two people feel something strange when they prepared?,0.0258,0.142,0.709,0.15,pos
7,2:47 Seolhyun looks like this every time he sees Lovelyz on stage.,0.3612,0.0,0.815,0.185,pos
8,2:13 I'm coming to see you all the time ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Embarrassed expression ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,-0.3612,0.122,0.878,0.0,neg
9,"2:03 2:03 2:03 2:03
2:03 2:03 2:03
Hey, it's like a martial arts kawasu reaction, why didn't you see it?",0.3612,0.0,0.878,0.122,pos
10,It feels like chocolate in the gimbap,0.3612,0.0,0.706,0.294,pos
11,If you were going to do it like that ... not Achu but powerful! I should have done it.,-0.3695,0.156,0.76,0.083,neg
12,"2:03 dance break wow
2:13 Oh my ..
2:47 You're hitting a goal.",0.5859,0.0,0.743,0.257,pos
13,"3:16 c.
There is no soul ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㄱㅋㅋ ㄱㅋ ㄱㅋㅋㅋ ㅋㄹㅇ My heart",-0.296,0.136,0.864,0.0,neg
14,"0:57 Embarrassing
1:03 pupil earthquake
1:20 I think I should do something
1:31 Something strange, but excited
2:02 Reaction Queen Seunghee
2:03 Soulless dance break
2:14 What is it?
2:19 Reverse is reverse.
2:46 That ridiculous smile
3:06 Same facial expressions as before
3:15 I think I should do anything 2
3:57 How much could you praise me?",0.7998,0.099,0.722,0.178,pos
15,"It's something pretty, but did Achura have to wear a sexy concept on her black clothes? Is it an image transformation? It just feels like a sneezing hemp king",0.8836,0.0,0.7,0.3,pos
16,"The freshness and excitement of the first love is melted, but suddenly the first love she threw off her clothes and made an impression on me",0.9161,0.0,0.631,0.369,pos
17,3:55 If I didn't say how much I would say pollen,0.0,0.0,1.0,0.0,neu
18,"1:03-Awkward Shuhwa's expression = My expression
1:21-What's just ... ㅡ ㅡ your expression = my expression
1:31-Su Jin's look seriously = My expression
2:02-Baby face no reaction = My expression",-0.4404,0.151,0.849,0.0,neg
19,"I don't want to talk about it, so I'm curious what stage will come out",0.3305,0.077,0.759,0.163,pos
20,"It's a success if you're aiming at it.
The song is youthful but why is your clothes sexy?
If you don't think they'll catch anything, just do one. No arrangement, no choreography.
If your head is bad ... you're sick ...
I have a lot to say, but I won't.",-0.802,0.237,0.625,0.138,neg
21,"Oh, the more I look at you, the more I feel sorry for you.
No, I honestly have a few years of idol
8 people gathered, Achu and sexy concept
Who knows if it's right or not.
This is just like a machine
Sing to sing and dance
I think I was working without thinking
I'm really sorry for that.",0.675,0.089,0.763,0.148,pos
22,0:48 Seunghee's face is definitely sexy but I was embarrassed when I came to Aku.,-0.0516,0.188,0.578,0.234,pos
23,"Lovelyz just keeps up with the concept they used to Why do you keep sticking to the sexy and girl crush and ruining the stage? If you're looking for a concert or looking for something sexy or confronting Queendom, you're better off doing what you want to do.",0.7783,0.093,0.712,0.196,pos
