,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,"In the past, if you were really doing it, now it seems that the passionate appearance from their will and the maturity for their age. I was too young at that time",0.5267,0.0,0.898,0.102,pos
1,"I keep watching this video after Queendom is over
I thought it was a song
Rather, it's because it's a song
Both the stage and the song are good",0.4404,0.0,0.892,0.108,pos
2,Yuna always seems to be doing her best,0.6369,0.0,0.625,0.375,pos
3,This stage is really good. Every member can see it. I was so upset that I wasn't a part.,-0.0447,0.164,0.681,0.155,neg
4,Sexy digestion really luxurious ㅋㅋ ㅋㅋㅋ It's because I'm a bit older and stylish and mature sexy ㅋㅋㅋ Look pretty girl,0.9153,0.0,0.556,0.444,pos
5,"All members, but Seolhyun looks unusual. Is it more majestic and fuller? Much fun and good",0.8519,0.0,0.628,0.372,pos
6,I feel like I'm age now.,0.3612,0.0,0.615,0.385,pos
7,"Hey ... you can't ignore that.
If you enter a lot of performances and perform hard and close up in the ending, the body is ice, but unlike the beginners, the pupils seem to be able to slack off freely, but it feels like the stage is full.",0.8154,0.023,0.814,0.164,pos
8,Jincha aoa stage is like a drug You and I come to see this every day Jin Cha ;;;;,0.3612,0.0,0.865,0.135,pos
9,"I mean, it's the best.",0.6369,0.0,0.417,0.583,pos
10,I always feel Seolhyun's pearl necklace.,0.0,0.0,1.0,0.0,neu
11,"Wow, I like the five-person system so much ... The members of Chan-mi, who are less important, are lined up. Just so thankful",0.9109,0.0,0.589,0.411,pos
12,"We got camera well smartly, too",0.5574,0.0,0.465,0.535,pos
13,Seolhyun is really pretty ..,0.5413,0.0,0.534,0.466,pos
14,"It's not filling up the vacancy, but just tearing it up and sewing it up.",0.0,0.0,1.0,0.0,neu
15,"I compare this with my activities
If you were like a puppy
This is like a wild wolf.
cool",0.743,0.0,0.64,0.36,pos
16,"I didn't know it before, but Hye-Jung showed her presence.",0.0,0.0,1.0,0.0,neu
17,"I'm still watching 1 day
I'm sorry for the members, but it's a five-member system.
Sounds good haha..",0.5719,0.061,0.737,0.203,pos
18,"When I first came out, I thought it was pretty cool to have Hye-jung choreographed.",0.6705,0.0,0.667,0.333,pos
19,"By the way, Yuna is really pretty. Was there such a pretty girl in AO?",0.7897,0.0,0.632,0.368,pos
20,I don't know why they are better,0.4404,0.0,0.633,0.367,pos
21,Jimin's eye drops on Eo really make me feel like Billy Irish,0.3612,0.0,0.815,0.185,pos
22,"AOA is the best in Queendom, even though 5 people are not empty at all and the stage is full.",0.6996,0.0,0.746,0.254,pos
23,"When this song came out, I felt like I'm flirting to catch the public, but now I feel like I'm seduced ㅠㅠ ㅠㅠㅠ",0.2846,0.122,0.638,0.24,pos
24,"Seolhyun looks scared or elegant like Madame, so pretty.",0.7346,0.171,0.294,0.535,pos
25,"Others have already talked a lot about it, but all five of them really looked so good that I only knew Seolhyun and Jimin. I don't think I've ever seen a collection of entertainment .. You have me. I love you. Really different from the rankings. Your sisters are so cool. I think it's already a success! Of course I want to win, but",0.9873,0.0,0.612,0.388,pos
