,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,"I didn't know at first, but I felt the microphone squeaking
Mamamu Solar Flower Omgirl Mimi Seunghee I think you know there's a problem with the microphone.
Why amnet always like this? ^^",-0.0772,0.105,0.799,0.096,neg
1,"Test the microphone properly Mnet ;;
This is a wasteful stage for both the audience and the singer.
I need to show the right stage ㅠㅠ",0.0,0.0,1.0,0.0,neu
2,"But when the fire goes out, someone jumps out and changes the mic",-0.34,0.167,0.833,0.0,neg
3,It's too much lol. Mike eats one line of lyrics. If you just sing one of the microphones in the background,0.4215,0.0,0.877,0.123,pos
4,"Whatever the microphone is, Park Bom's vocal chords are great, but the mics are so great. It's hard to find out where the mics came from.
Mike's first spring",0.8022,0.055,0.718,0.227,pos
5,"Most of the time, they spent a lot of time and gathered the pinks and ses back to their old memories and performed concerts, but it was a legend that the people missed 2ne1.",-0.4215,0.083,0.917,0.0,neg
6,"I wondered if there was a problem with Park Bom's singing ability. Choir performance came. If Park Bom worked well, I would have been more moved.",0.1779,0.1,0.738,0.162,pos
7,It seems like Park Bom taps with a microphone finger.,0.3612,0.0,0.762,0.238,pos
8,"1:54 Solar Expression Firm
2:18 loudness of speech
Both are seriously looking at me if I have to do this again.",-0.1779,0.082,0.918,0.0,neg
9,"I love Lovelyz
It's ridiculous that Lovelyz won Park Bom ...
Park Bom, it's more than that weird mic out there",0.6637,0.157,0.564,0.279,pos
10,"You should care about the sound, not the broadcaster.",0.4939,0.0,0.714,0.286,pos
11,"Head: huh? What's your microphone?
Hand: (talk) Microphone is strange
Vocal cord: I don't give in to that microphone",0.4137,0.084,0.749,0.167,pos
12,"Every time I see you, it's too bad because of the microphone.",-0.5423,0.259,0.741,0.0,neg
13,What are you looking at at this audience level ... You've seen and heard so far. Do you think you'll be cheated if you release it by editing,-0.5106,0.109,0.891,0.0,neg
14,2:27 Mike TalkTalk Mike's problem is reconstructed.,-0.4019,0.31,0.69,0.0,neg
15,Everyone in the bleachers would have been surprised to see the state of the microphone.,0.2263,0.0,0.881,0.119,pos
16,"Oh, Mike, pick up where you really were and eat all your singers' songs.",0.0,0.0,1.0,0.0,neu
17,Please provide the singer with the equipment,0.3182,0.0,0.723,0.277,pos
18,"I don't know why most of the time I'm on stage in Park Bom, I'm never falling behind with my voice",0.1139,0.0,0.929,0.071,pos
19,I'll make sure to check the mic before the stage.,0.3182,0.0,0.796,0.204,pos
20,2:27 I'm touching Mike in this part.,0.0,0.0,1.0,0.0,neu
21,Even though I'm a crap mic,-0.3818,0.394,0.606,0.0,neg
22,It's cool that you've been singing so hard to the end despite the microphone problem.,0.4003,0.101,0.651,0.247,pos
23,"I don't know anything else, but the person who puts Park Bom on the singer's ability is sul.",0.4497,0.0,0.844,0.156,pos
24,Are you crying when I'm alone on the stage?,-0.6249,0.421,0.579,0.0,neg
25,It's amazing to live with Park Bom ...,0.5859,0.0,0.648,0.352,pos
26,Mike Why are you so crazy?,-0.4795,0.384,0.616,0.0,neg
27,"Oh my ...
My fav. Song from her. ㅠ ㅠㅠㅠ",0.4588,0.0,0.727,0.273,pos
28,It was a microphone problem. I'm dead.,-0.7906,0.636,0.364,0.0,neg
29,"How to make Park Bom Fever
Spring: You and I together it just feels alright
Lights off.
Dara, Minji: The word goodbye never
CHARLIN: I'll protect you no matter what anyone says",-0.3147,0.127,0.783,0.09,neg
30,"Park Bom There were a lot of accidents, but I didn't really die. It's creepy. I'm dying on the stage alone. And Mnet's heads gave Park Bom a broken microphone.",-0.4129,0.232,0.642,0.127,neg
31,Uh ... you can always have it,0.0,0.0,1.0,0.0,neu
32,"There's no way around. Mike's problem is too bad, but when it comes to the microphone problem, it turns the screen into a reaction of the audience or singers, making spring seem to be a problem; I'm really living, so I hear that spring is not good enough.",-0.9314,0.29,0.71,0.0,neg
33,I really love you. I love you TT TT TT,0.8746,0.0,0.4,0.6,pos
