,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,Solar expression always looks happy,0.5719,0.0,0.519,0.481,pos
1,They don't need dancers. Many dancers are invisible and focused on the real four.,0.3818,0.0,0.833,0.167,pos
2,The real voice is the weapon ㅋㄱ ㄱㄱㅋ ㄱㄱ ㄱㄱㄱㄱ,-0.296,0.196,0.804,0.0,neg
3,"Others were very good, but personally, Mamamu and the children were the most overwhelming. When I was on stage, Mamamu went to a concert and the children went to a music festival.
(Fix: What's over 2,000 now?",0.7504,0.0,0.833,0.167,pos
4,"Mamamu just wants to go overseas
Not that Korea is narrow, but that Korea is narrow",0.0,0.0,1.0,0.0,neu
5,Mamamu is good because it's a group of very few idols who really enjoy their songs.,0.7501,0.0,0.67,0.33,pos
6,"The twisted tone is from a real girl group
It looks like it is in TOP3 Too good",0.6597,0.0,0.735,0.265,pos
7,"No, I'm familiar with that flag. It's my own name. ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ?",-0.296,0.136,0.864,0.0,neg
8,"Mamamu, who sings a song close to ten people but can't fill it, must admit one's true skills when he sees four full.
It's nice to see Mamamu standing on stage while having fun.
Honestly, Mamamu is too high to go to a professional like this.",0.9694,0.0,0.641,0.359,pos
9,I thought it would have been difficult for Munbyi to cry more than the usual rap ㅋㅋㅋ,-0.6808,0.286,0.714,0.0,neg
10,"I think that the best song of MAMMU is mr.ambiguity, but the song that suits the contest is definitely decalcomani.",0.7311,0.0,0.734,0.266,pos
11,"I think the outfit goes well with the tone
If Mamamu had six senses",0.2732,0.0,0.851,0.149,pos
12,"I'm very good at this, but I don't have a group to follow the stage at the current idol class. ㅋ ㅋㅋㅋ ㅋㅋㅋ",0.2724,0.0,0.901,0.099,pos
13,ㅋㅌㅌ ㅌㅋㅋㅋ It's funny that only I react to each stage Seunghee ㅋ 진짜 ㅋㅋㅋ Really cute and funny,0.8439,0.0,0.606,0.394,pos
14,I didn't know how to do it because I didn't know how to play vocals .. I thought other groups would do it. I saw other group stages a few days ago.,0.34,0.0,0.915,0.085,pos
15,I grab a lot of screens for the trainees.,0.0,0.0,1.0,0.0,neu
16,"4:01 It's funny that the charterer just follows me with the scrim, and I'm holding the camera too lol.",0.6908,0.0,0.749,0.251,pos
17,Moms are really just playing on stage.,0.2682,0.0,0.743,0.257,pos
18,"It's not just a contest, it's like a stage stage.
Mamamu is too lacking to be an idol.",0.3612,0.0,0.857,0.143,pos
19,"I can't really win this
It's me.",-0.5088,0.397,0.603,0.0,neg
20,Cheval.,0.0,0.0,1.0,0.0,neu
21,"The vocal itself is different from other groups so every member is excellent and there's nothing to say. In the other group, one or two vocals seem to be buried.",0.5719,0.0,0.887,0.113,pos
22,The real mamamu is overwhelmed with everything else.,0.0516,0.0,0.854,0.146,pos
23,"Wow, it's just overwhelming.",0.5859,0.0,0.441,0.559,pos
24,"Every time I feel it, Mamamu is very tidy and the dress is very cool especially at awards and survival programs.",0.707,0.0,0.754,0.246,pos
25,"And it's really creepy
I knew you were famous for the song,
You're really good at singing.",0.4927,0.0,0.824,0.176,pos
26,Replying to @David_Gill I think I've been following it after the twist.,0.0,0.0,1.0,0.0,neu
