,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,"A group that you expect IU in the past I know why I took it. Oh, my place.
Obviously, the kids who are good at music seem to show which ones will be able to play.",0.6486,0.0,0.854,0.146,pos
1,"The reason why the infant's expression keeps on reminding me is that it's not the tension of the contest, the pressure of the rankings, the pressure, it's just ""This is what I do best!"" Because it shows the sunshine and purity.
I don't remember when I smiled without worrying about it, I never saw a person laughing like that as I grew up, and the infant's face remains so deep that I can't forget it. ㅠㅠ",0.1969,0.121,0.736,0.143,pos
2,"Secret garden that everyone who hears secret garden wants to know
-Actually inserting a fairy tale book in the album, with the help of illustrator
-And the main character of a fairy tale story is not Oh My Girl but Naim who reads this story.
-If you look at the lyrics, you talk to someone
-The whole story is that in this world where the results of the effort are not easy to see, if you cultivate your own secret garden that you don't know (which means effort), you'll find out if you wait a little while.
-If you try, your garden will be big enough to cover you. So don't worry about others.
-The first half is my secret garden. At the end, your secret garden is Kilpo.
-If you listen to the song lyrics and hear them, you will have tears.
Well then
* Add so many questions. The last part of 4:11 says that it's me, but the official lyrics of melon, Naver, are the last of your secret garden.",0.3752,0.031,0.924,0.045,pos
3,"How did you feel when you saw this? Like the same song, Oriental concept I hope you hold me tight ... TT",0.698,0.0,0.767,0.233,pos
4,The song Oh My Girl sings is like a Ghibli movie. I feel it when I enter and experience the world in the lyrics.,0.3612,0.0,0.889,0.111,pos
5,I was so happy,0.6115,0.0,0.334,0.666,pos
6,Idol omgirl that yudol members are virtue,0.4215,0.0,0.682,0.318,pos
7,"ㅁㅋㅋ ㅋㅋㅋ ㅋㅋㅋ My secret garden is lingering while I'm asleep, but I'm looking at the color of the fire next to it. ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",-0.4767,0.103,0.897,0.0,neg
8,"0:33 My face is so full that when I look at it, I feel like I'm in a different world.",0.3612,0.0,0.865,0.135,pos
9,"Do you know that? In the first contest of the omg girl, which was evaluated as the weakest before the start of the Queendom, she used a thin, flaky ribbon, but used a solid rope at the end of the omg girl's final with the omnistin pointe twilight.",-0.0644,0.045,0.916,0.04,neg
10,1:03 It's really expressionless when it's dark,0.0,0.0,1.0,0.0,neu
11,I've seen Queendom and it's very simple Youtube is oh my girl,0.0,0.0,1.0,0.0,neu
