,comment,compound,negative,neutral,positive,whether_pos_or_neg
0,"If it wasn't for this stage, the Queendom quality would be done in the music room or anything else.",0.0,0.0,1.0,0.0,neu
1,"I'm Jyp sm yg, I'm the 3rd big company ...
I believe we will set up an agency later. President",0.0,0.0,1.0,0.0,neu
2,"Cube: How are you?
So Yeon Jeon:
ㅇㅋ ......",0.0,0.0,1.0,0.0,neu
3,"If Sujin is a snow-white snow princess, Minnie is like an Egyptian queen .. like Cleopatra.",0.6124,0.0,0.722,0.278,pos
4,"Ratata lyric also look terribly stylish. The expression is not edible. It's hard to say one by one, but the addictive fragrance is mixed up, the ignition of the beginning, the walk on the fire, and the meaning that leads to something scary and rhyme. The lyrics are written by So-yeon alone.",-0.9012,0.202,0.779,0.019,neg
5,Two million kids came out of Queendom,0.0,0.0,1.0,0.0,neu
6,It's like the children brought a princess to each country,0.3612,0.0,0.762,0.238,pos
7,If you go to Dankon,0.0,0.0,1.0,0.0,neu
8,Let's just pass the cube to Jeon So-yeon,0.0,0.0,1.0,0.0,neu
9,"Children are well balanced Jeon So-yeon Sujin Minni Woo-gi Characters are counting. If the character is all strong in it, it would have been its own way",0.6597,0.0,0.822,0.178,pos
10,It's one of the few groups that can make their debut as a hit.,0.0,0.0,1.0,0.0,neu
11,The children's stage has raised the overall level of the Queen's stage competition. Let's go,0.0,0.0,1.0,0.0,neu
12,"My personal sentiment: this stage not only informed more people, but also held at least juniors (special evaluation team trainees), aroused seniors ('ah! I thought even the gram was awakened (the audience rating jumped up after this stage. It doubled.) The crew was excited and called the production meeting. Probably long memory.",0.5255,0.0,0.936,0.064,pos
13,"I feel it every time, but I think I use foreign members very well. It's not just to gain fans in the member countries, but to make good use of the characteristics of foreigners.",0.5066,0.095,0.725,0.18,pos
14,"When produced 101
Jang Geun Suk says you are the cube-chan
I've heard a similar sound .....
Then was A ...? It was .....
Now it's a cube hidden gem ..... ㅎㅎ
Genius",0.0,0.0,1.0,0.0,neu
15,"Really until this time, the Latata Gasson Legend stage; But after the finals, it's the best song I've ever seen",0.6369,0.0,0.819,0.181,pos
16,"The kids were really unique. I had a performance in the shaman concept that I've never seen before, and the memorizing spells in front of Minni would be regretted if I saw them at the scene.
Jeon So-yeon, who constituted such a stage, is a Gaejaejae.",-0.3818,0.061,0.939,0.0,neg
17,I think it was really magical to sing along with other groups at the end.,0.0,0.0,1.0,0.0,neu
18,"It's like a little princess from each country, but it's not like a sharala princess, but a great heir to the future.",0.8922,0.0,0.6,0.4,pos
19,Ryan's children have dragged me to this point I can't stop it,0.1749,0.099,0.745,0.156,pos
20,"The introduction keeps on creepy .. It is imagined that the woman of Imotep is resurrected together in the mummies, whispering love, and keeps the viewer curious.",0.7579,0.0,0.794,0.206,pos
21,"Jeon So-yeon, I know how you can chew all the way in Survival.",0.0,0.0,1.0,0.0,neu
22,"Sujin-> Blackened Snow White
Minni-> Egyptian Queen
Rainy season-> Gapbun Maltese",-0.0772,0.115,0.885,0.0,neg
23,"You have to be the first team. You have a unique talent. Soyeon is good, but you have members who followed.",0.431,0.0,0.824,0.176,pos
24,And Jeon So-yeon planned it all. ?? I'll take it to Cube Jeon So-yeon,0.0,0.0,1.0,0.0,neu
25,"There are few years in the year, but all videos have the highest views ,,
Find out how attractive the group is",0.5927,0.0,0.845,0.155,pos
26,Jeon So-yeon who enjoys a huge arrangement + stage craftsmanship + Mnet Survival's third survival.,0.6808,0.0,0.641,0.359,pos
27,I think it'll be enough for BTS.,0.0,0.0,1.0,0.0,neu
28,"If I'm an entertainer, I'll recruit my kids and support them as hard as bts.",0.5994,0.075,0.642,0.283,pos
29,"The children's first place was the most similar to the original song
Some other teams are just watching the music stage",0.3182,0.0,0.897,0.103,pos
30,"I know why Jeon So Yeon is a genius. Arrangement, stage grip, sense. Most of all, he wrote a lot of songs.",0.0,0.0,1.0,0.0,neu
31,"There were more than 10 million views, and other participating groups had articles, but the children seemed to be unable to support their company properly.",0.5499,0.0,0.871,0.129,pos
32,Minnie knows you're summoning demons on stage.,0.0,0.0,1.0,0.0,neu
33,"Jeon So-yeon is really scared of the real song ㅋㅋㅋ ㅋㅋㅋ In the video, all the seniors are singing along with Eve Day Evil Knight Latata.",-0.8221,0.24,0.76,0.0,neg
34,It's also a good thing that the hit song is the debut song.,0.4404,0.0,0.791,0.209,pos
35,"2:11 When Jeon So-yeon is caught, Jeon So-yeon's laughing at the camera.",0.4939,0.0,0.775,0.225,pos
36,No matter how much I could make Jeon So-yeon better than this stage,0.2023,0.145,0.592,0.263,pos
37,"Solka Jeon So Yeon
I'm alone with my idea.
How much do you like the agency?",0.0609,0.121,0.746,0.133,pos
